Date;Time;Routine;Exercise;Set;Weight;Reps;Duration;Distance;Para6;Para7;Para8;Para9;Para10;Note;Type;Book;Version1
08.05.2025;11:11:02;C;Prancha (apoio nos antebraços);2;0.0;10.0;;;;;;;;;1;1;1
09.05.2025;10:36:43;D;Supino Articulado Máquina (Pré-ativação);1;40.0;12.0;;;71.0;71.0;;;;;1;1;1
09.05.2025;10:38:37;D;Supino Articulado Máquina (Pré-ativação);2;70.0;12.0;;;88.0;97.0;;;;;1;1;1
09.05.2025;10:41:40;D;Supino Articulado Máquina (Pré-ativação);3;50.0;12.0;;;97.0;97.0;;;;;1;1;1
09.05.2025;10:43:45;D;Supino Articulado Máquina (Pré-ativação);4;70.0;8.0;;;89.0;97.0;;;;;1;1;1
09.05.2025;10:46:01;D;Supino Articulado Máquina (Pré-ativação);5;50.0;10.0;;;97.0;97.0;;;;;1;1;1
09.05.2025;10:52:08;D;Crossover Polia Alta;1;10.0;15.0;;;;;;;;;1;1;1
09.05.2025;10:54:15;D;Crossover Polia Alta;2;15.0;15.0;;;97.0;97.0;;;;;1;1;1
09.05.2025;10:56:20;D;Crossover Polia Alta;3;10.0;15.0;;;97.0;97.0;;;;;1;1;1
09.05.2025;10:58:14;D;Crossover Polia Alta;4;10.0;15.0;;;;;;;;;1;1;1
09.05.2025;11:02:54;D;Crossover Polia Baixa;1;10.0;15.0;;;97.0;97.0;;;;;1;1;1
09.05.2025;11:04:58;D;Crossover Polia Baixa;2;10.0;12.0;;;97.0;97.0;;;;;1;1;1
09.05.2025;11:06:55;D;Crossover Polia Baixa;3;10.0;10.0;;;92.0;97.0;;;;;1;1;1
09.05.2025;11:08:36;D;Crossover Polia Baixa;4;10.0;8.0;;;91.0;97.0;;;;;1;1;1
09.05.2025;11:11:33;D;Supino na Máquina (inclinado);1;20.0;10.0;;;56.0;56.0;;;;;1;1;1
09.05.2025;11:13:29;D;Supino na Máquina (inclinado);2;20.0;10.0;;;75.0;87.0;;;;;1;1;1
09.05.2025;11:15:28;D;Supino na Máquina (inclinado);3;20.0;10.0;;;98.0;139.0;;;;;1;1;1
09.05.2025;11:22:43;D;Tríceps Polia Barra Reta;1;15.0;15.0;;;;;;;;;1;1;1
09.05.2025;11:25:21;D;Tríceps Polia Barra Reta;2;15.0;15.0;;;;;;;;;1;1;1
09.05.2025;11:27:41;D;Tríceps Polia Barra Reta;3;15.0;15.0;;;;;;;;;1;1;1
09.05.2025;11:30:02;D;Tríceps Polia Barra Reta;4;15.0;15.0;;;55.0;55.0;;;;;1;1;1
09.05.2025;11:35:28;D;Tríceps Francês Polia Baixa;1;10.0;10.0;;;;;;;;;1;1;1
09.05.2025;11:37:10;D;Tríceps Francês Polia Baixa;2;10.0;10.0;;;52.0;52.0;;;;;1;1;1
09.05.2025;11:41:14;D;Tríceps Francês Polia Baixa;3;15.0;10.0;;;112.0;112.0;;;;;1;1;1
09.05.2025;11:42:24;D;Tríceps Máquina Paralelas;1;32.0;12.0;;;78.0;78.0;;;;;1;1;1
09.05.2025;11:43:56;D;Tríceps Máquina Paralelas;2;32.0;12.0;;;79.0;80.0;;;;;1;1;1
09.05.2025;11:46:36;D;Tríceps Máquina Paralelas;3;32.0;12.0;;;;;;;;;1;1;1
12.05.2025;07:47:43;A;Mobilidade de Inferiores;1;0.0;15.0;;;105.0;105.0;;;;;1;1;1
12.05.2025;07:48:45;A;Mobilidade de Inferiores;2;0.0;15.0;;;;;;;;;1;1;1
12.05.2025;07:48:58;A;Mobilidade de Inferiores;3;0.0;15.0;;;95.0;97.0;;;;;1;1;1
12.05.2025;07:50:15;A;Leg Press 45 graus;1;15.0;15.0;;;141.0;183.0;;;;;1;1;1
12.05.2025;07:52:04;A;Leg Press 45 graus;2;15.0;15.0;;;111.0;117.0;;;;;1;1;1
12.05.2025;07:53:57;A;Leg Press 45 graus;3;15.0;15.0;;;118.0;118.0;;;;;1;1;1
12.05.2025;07:55:47;A;Leg Press 45 graus;4;15.0;15.0;;;105.0;105.0;;;;;1;1;1
12.05.2025;08:00:32;A;Agachamento Sumo;1;16.0;12.0;;;105.0;105.0;;;;;1;1;1
12.05.2025;08:02:08;A;Abdução na Máquina (sentado);1;16.0;10.0;;;;;;;;;1;1;1
12.05.2025;08:02:28;A;Agachamento Sumo;2;16.0;10.0;;;139.0;139.0;;;;;1;1;1
12.05.2025;08:04:02;A;Agachamento Sumo;3;16.0;8.0;;;125.0;131.0;;;;;1;1;1
12.05.2025;08:05:35;A;Agachamento Sumo;4;32.0;15.0;;;124.0;128.0;;;;;1;1;1
12.05.2025;08:08:16;A;Abdução na Máquina (sentado);2;32.0;15.0;;;107.0;126.0;;;;;1;1;1
12.05.2025;08:11:30;A;Abdução na Máquina (sentado);3;32.0;15.0;;;108.0;114.0;;;;;1;1;1
12.05.2025;08:13:10;A;Abdução na Máquina (sentado);4;32.0;15.0;;;110.0;110.0;;;;;1;1;1
12.05.2025;08:19:02;A;Agachamento Búlgaro;1;0.0;16.0;;;111.0;114.0;;;;;1;1;1
12.05.2025;08:21:15;A;Agachamento Búlgaro;2;0.0;16.0;;;124.0;131.0;;;;;1;1;1
12.05.2025;08:23:53;A;Agachamento Búlgaro;3;0.0;16.0;;;132.0;135.0;;;;;1;1;1
12.05.2025;08:28:12;A;Elevação Pélvica;1;10.0;10.0;;;127.0;127.0;;;;;1;1;1
12.05.2025;08:29:51;A;Elevação Pélvica;2;10.0;10.0;;;;;;;;;1;1;1
13.05.2025;20:34:54;B;Puxada frontal (aberta);1;35.0;15.0;;;135.0;183.0;;;;;1;1;1
13.05.2025;20:36:54;B;Puxada frontal (aberta);2;35.0;15.0;;;72.0;88.0;;;;;1;1;1
13.05.2025;20:38:45;B;Puxada frontal (aberta);3;30.0;15.0;;;88.0;88.0;;;;;1;1;1
13.05.2025;20:40:54;B;Puxada frontal (aberta);4;30.0;15.0;;;72.0;88.0;;;;;1;1;1
13.05.2025;20:43:15;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);1;30.0;10.0;;;102.0;115.0;;;;;1;1;1
13.05.2025;20:44:51;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);2;30.0;10.0;;;102.0;115.0;;;;;1;1;1
13.05.2025;20:46:28;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);3;30.0;10.0;;;71.0;88.0;;;;;1;1;1
13.05.2025;20:48:06;B;Puxada Vertical até o Peito, Pegada Supinada Fechada (sentado);4;30.0;10.0;;;73.0;90.0;;;;;1;1;1
13.05.2025;20:52:11;B;Rosca direta com barra W/EZ;1;15.0;10.0;;;54.0;54.0;;;;;1;1;1
13.05.2025;20:54:16;B;Rosca direta com barra W/EZ;2;15.0;10.0;;;117.0;117.0;;;;;1;1;1
13.05.2025;21:00:27;B;Remada Cavalo Fechada;1;20.0;15.0;;;115.0;115.0;;;;;1;1;1
13.05.2025;21:02:22;B;Remada Cavalo Fechada;2;20.0;12.0;;;136.0;136.0;;;;;1;1;1
13.05.2025;21:05:53;B;Remada Cavalo Fechada;3;20.0;12.0;;;;;;;;;1;1;1
13.05.2025;21:10:25;B;Remada Cavalo Fechada;4;18.0;10.0;;;;;;;;;1;1;1
13.05.2025;21:11:43;B;Rosca direta com barra W/EZ;3;18.0;10.0;;;50.0;55.0;;;;;1;1;1
13.05.2025;21:15:41;B;Remada Serrote Unilateral (Máquina);1;18.0;10.0;;;55.0;55.0;;;;;1;1;1
13.05.2025;21:17:53;B;Remada Serrote Unilateral (Máquina);2;23.0;10.0;;;55.0;55.0;;;;;1;1;1
